Date,Morning Start,Morning End,Evening Start,Evening End
2023-05-11,2023-05-11 03:57:45.605014+01:00,2023-05-11 05:36:47.372242+01:00,2023-05-11 20:17:13.240148+01:00,2023-05-11 21:57:08.637485+01:00
2023-05-12,2023-05-12 04:01:32.311403+01:00,2023-05-12 05:37:46.628302+01:00,2023-05-12 20:16:07.542283+01:00,2023-05-12 21:53:10.534672+01:00
2023-05-13,2023-05-13 03:51:32.063360+01:00,2023-05-13 05:32:32.230961+01:00,2023-05-13 20:21:22.980861+01:00,2023-05-13 22:03:18.962728+01:00
2023-05-14,2023-05-14 03:28:33.616492+01:00,2023-05-14 05:22:02.069344+01:00,2023-05-14 20:32:00.641751+01:00,2023-05-14 22:26:48.606556+01:00
2023-05-15,2023-05-15 03:07:09.368643+01:00,2023-05-15 05:13:04.037612+01:00,2023-05-15 20:41:05.771032+01:00,2023-05-15 22:48:51.105255+01:00
2023-05-16,2023-05-16 02:19:04.228199+01:00,2023-05-16 04:57:36.688985+01:00,2023-05-16 20:56:48.792960+01:00,2023-05-16 23:39:42.585292+01:00
2023-05-17,,,,
2023-05-18,,,,
2023-05-19,,,,
2023-05-20,,,,
2023-05-21,,,,
2023-05-22,,,,
2023-05-23,,,,
2023-05-24,,,,
2023-05-25,2023-05-25 02:41:05.075765+01:00,2023-05-25 04:57:40.310720+01:00,2023-05-25 20:57:20.852117+01:00,2023-05-25 23:15:58.935170+01:00
2023-05-26,2023-05-26 03:03:25.656723+01:00,2023-05-26 05:05:04.096998+01:00,2023-05-26 20:50:01.075065+01:00,2023-05-26 22:52:58.805928+01:00
2023-05-27,2023-05-27 03:15:36.883957+01:00,2023-05-27 05:09:30.522876+01:00,2023-05-27 20:45:42.443595+01:00,2023-05-27 22:40:37.848569+01:00
