Date,59.91°,59.13°,59.97°,61.9°,63.25°,65.46°,66.74°,67.96°,69.49°,70.51°,70.2°,70.2°,68.55°,65.32°,62.52°,60.99°,59.91°
2023-01-01,338.0,310.0,340.5,452.25,432.25,393.5,366.5,336.0,289.0,249.0,262.5,262.5,319.5,396.25,443.5,414.5,338.0
2023-01-02,334.75,307.75,337.0,454.0,434.25,395.75,369.0,339.0,292.5,253.5,266.5,266.5,322.5,398.5,445.25,403.75,334.75
2023-01-03,331.5,305.0,334.0,455.75,436.25,398.25,371.75,342.0,296.5,258.0,270.5,270.5,325.75,400.75,447.25,394.25,331.5
2023-01-04,328.0,302.5,330.0,457.75,438.25,400.75,374.75,345.25,300.5,262.75,275.25,275.25,329.25,403.25,449.25,385.5,328.0
2023-01-05,324.25,300.0,326.5,460.25,440.75,403.75,377.75,348.75,304.75,267.75,279.75,279.75,333.25,406.25,451.5,377.75,324.25
2023-01-06,320.5,297.5,323.0,462.5,443.25,406.5,381.0,352.75,309.25,273.25,284.75,284.75,337.25,409.25,454.0,370.0,320.5
2023-01-07,317.25,295.0,319.0,465.0,446.0,409.5,384.5,356.5,314.0,278.75,290.25,290.25,341.25,412.0,456.5,363.25,317.25
2023-01-08,313.25,292.25,315.25,458.25,448.75,413.0,388.0,360.5,319.0,284.5,295.5,295.5,345.75,415.5,459.25,356.75,313.25
2023-01-09,309.75,289.0,311.5,421.25,451.75,416.25,392.0,365.0,324.0,290.5,301.25,301.25,350.25,418.75,461.75,350.25,309.75
2023-01-10,306.0,286.5,308.0,403.5,455.0,420.0,396.0,369.5,329.25,296.75,307.25,307.25,355.0,422.5,465.0,344.0,306.0
2023-01-11,302.75,283.5,304.25,390.0,458.0,423.75,400.0,374.0,335.0,303.0,313.25,313.25,360.0,426.0,468.0,338.25,302.75
2023-01-12,298.75,280.75,300.5,378.75,461.25,427.75,404.25,378.75,340.5,309.5,319.5,319.5,365.0,429.75,471.25,332.5,298.75
2023-01-13,295.5,278.0,296.75,368.5,465.0,431.5,409.0,383.75,346.25,316.0,325.75,325.75,370.25,434.0,424.0,327.5,295.5
2023-01-14,292.0,275.5,293.5,360.0,468.25,435.75,413.25,389.0,352.25,322.75,332.25,332.25,375.75,438.0,403.5,322.5,292.0
2023-01-15,288.5,272.5,289.75,352.0,472.0,440.0,418.0,394.0,358.25,329.75,338.75,338.75,381.25,442.25,389.0,317.5,288.5
2023-01-16,285.25,269.5,286.25,344.25,475.75,444.25,422.75,399.5,364.5,336.75,345.75,345.75,386.75,446.75,376.75,312.5,285.25
2023-01-17,282.0,267.0,283.0,337.25,427.75,449.0,428.0,405.0,371.0,343.75,352.5,352.5,392.5,451.0,366.0,307.5,282.0
