Date,Morning Start,Morning End,Evening Start,Evening End
2023-05-11,2023-05-11 02:57:48,2023-05-11 04:36:48,2023-05-11 19:17:18,2023-05-11 20:57:12
2023-05-12,2023-05-12 03:01:36,2023-05-12 04:37:48,2023-05-12 19:16:12,2023-05-12 20:53:12
2023-05-13,2023-05-13 02:51:36,2023-05-13 04:32:36,2023-05-13 19:21:30,2023-05-13 21:03:24
2023-05-14,2023-05-14 02:28:36,2023-05-14 04:22:06,2023-05-14 19:32:06,2023-05-14 21:26:48
2023-05-15,2023-05-15 02:07:12,2023-05-15 04:13:06,2023-05-15 19:41:12,2023-05-15 21:48:54
2023-05-16,2023-05-16 01:19:12,2023-05-16 03:57:36,2023-05-16 19:56:54,2023-05-16 22:39:42
2023-05-17,2023-05-17 00:00:00,2023-05-17 03:46:00,2023-05-17 20:08:42,2023-05-17 23:59:59.999999
2023-05-18,2023-05-18 00:00:00,2023-05-18 03:33:12,2023-05-18 20:21:48,2023-05-18 23:59:59.999999
2023-05-19,2023-05-19 00:00:00,2023-05-19 03:15:06,2023-05-19 20:40:18,2023-05-19 23:59:59.999999
2023-05-20,2023-05-20 00:00:00,2023-05-20 02:59:36,2023-05-20 20:56:18,2023-05-20 23:59:59.999999
2023-05-21,2023-05-21 00:00:00,2023-05-21 03:00:06,2023-05-21 20:55:48,2023-05-21 23:59:59.999999
2023-05-22,2023-05-22 00:00:00,2023-05-22 02:56:42,2023-05-22 20:59:18,2023-05-22 23:59:59.999999
2023-05-23,2023-05-23 00:00:00,2023-05-23 03:13:18,2023-05-23 20:42:18,2023-05-23 23:59:59.999999
2023-05-24,2023-05-24 00:00:00,2023-05-24 03:40:18,2023-05-24 20:15:00,2023-05-24 23:59:59.999999
2023-05-25,2023-05-25 01:41:12,2023-05-25 03:57:42,2023-05-25 19:57:24,2023-05-25 22:16:00
2023-05-26,2023-05-26 02:03:30,2023-05-26 04:05:06,2023-05-26 19:50:06,2023-05-26 21:53:00
2023-05-27,2023-05-27 02:15:42,2023-05-27 04:09:30,2023-05-27 19:45:48,2023-05-27 21:40:42
